,Action.L,Action.R,Action.U,Action.D,Action.W,Action.C
"[[14.  3.  3.  3.  3.]
 [ 3.  3.  3.  3.  3.]
 [ 3.  1.  3.  3.  3.]
 [ 1.  4.  6.  1.  1.]
 [ 4.  4.  4.  4. 14.]]",-65.69999999999999,-124.30521,-96.33509999999998,-91.29299999999998,-80.11892163894694,-79.47
"[[ 0.  3.  3.  3. 13.]
 [ 0.  3.  3.  3.  3.]
 [ 0.  3.  3.  3.  3.]
 [ 0.  3.  1.  3.  3.]
 [11.  1.  4.  6.  1.]]",-29.19,213.4222956375808,-29.9433,-51.0,165.67672106906258,-29.386022767140744
"[[ 0.  3.  3.  3.  3.]
 [ 0.  3.  3.  3.  3.]
 [10.  3.  1.  3. 14.]
 [ 0.  1.  4.  6.  1.]
 [ 0.  4.  4.  4.  4.]]",-75.98999999999998,-82.68596617042988,-92.9945734698,-65.69999999999999,-106.1463,36.42943577159888
"[[ 0.  3.  3.  3.  3.]
 [ 0.  3.  1.  3.  3.]
 [10.  1.  4.  6. 12.]
 [ 0.  4.  4.  4.  4.]
 [ 0.  4.  4.  4.  4.]]",-65.69999999999999,-33.02967974080176,-73.46464542,-30.0,-47.739,-3.282679083642523
"[[ 0.  0.  3.  3.  3.]
 [ 0.  0.  3.  3.  3.]
 [10.  0.  3.  1. 14.]
 [ 0.  0.  1.  4.  6.]
 [ 0.  0.  4.  4.  4.]]",-88.23509999999999,-33.02967974080176,-51.0,-65.69999999999999,-106.602,0.0
"[[ 3.  3.  3.  3.  3.]
 [ 3.  3.  3.  3.  3.]
 [13.  1.  3.  3. 14.]
 [ 1.  4.  6.  1.  1.]
 [ 4.  4.  4.  4.  4.]]",-48.398847,-89.88896617042987,-94.7623216758,-51.0,-110.16180564903536,-11.221036077043555
"[[ 0.  3.  3.  3.  3.]
 [ 0.  3.  3.  3.  3.]
 [10.  3.  3.  3. 14.]
 [ 0.  3.  1.  3.  3.]
 [ 0.  1.  4.  6.  1.]]",-75.98999999999998,-54.02967974080176,-30.0,-51.0,-89.109,-28.757946
"[[ 0.  0.  3.  3. 14.]
 [ 0.  0.  3.  3.  3.]
 [ 0.  0.  3.  1.  3.]
 [ 0.  0.  1.  4.  6.]
 [10.  0.  4.  4.  4.]]",-30.0,-95.152251,-83.19299999999998,-89.75999999999999,-59.1,-51.0
"[[ 0.  3.  3.  3. 14.]
 [ 0.  3.  1.  3.  3.]
 [ 0.  1.  4.  6.  1.]
 [ 0.  4.  4.  4.  4.]
 [10.  4.  4.  4.  4.]]",-30.0,-51.0,-51.0,-96.33509999999998,-73.46211,-48.97888898083611
"[[ 3.  3.  3.  3. 14.]
 [ 3.  3.  3.  3.  3.]
 [ 3.  1.  3.  3.  3.]
 [ 1.  4.  6.  1.  1.]
 [14.  4.  4.  4.  4.]]",-84.08999999999999,-84.862251,-65.69999999999999,-54.74196780266085,-128.66816999999998,-49.9713
"[[ 3.  3.  3.  3. 13.]
 [ 3.  3.  3.  3.  3.]
 [ 3.  1.  3.  3.  3.]
 [ 1.  4.  6.  1.  1.]
 [15.  4.  4.  4.  4.]]",73.89616404951988,146.88019429750676,-32.37671223598049,230.2242810890793,347.1105639403518,-44.03806337491776
"[[ 0.  0.  3.  3. 13.]
 [ 0.  0.  3.  3.  3.]
 [ 0.  0.  3.  1.  3.]
 [ 0.  0.  1.  4.  6.]
 [11.  0.  4.  4.  4.]]",-74.61299999999999,102.62863307984848,-2.924108539063683,-3.2357935140321543,0.0,-51.0
"[[ 3.  3.  3.  3. 13.]
 [ 3.  3.  3.  3.  3.]
 [ 1.  3.  3.  3.  3.]
 [ 4.  6.  1.  1.  1.]
 [15.  4.  4.  4.  4.]]",284.4316139561248,19.193492981723445,22.86512003909871,61.80254638076536,72.69290799605538,-30.0
"[[ 3.  3.  3.  3. 13.]
 [ 3.  3.  3.  3.  3.]
 [ 3.  3.  3.  3.  3.]
 [ 6.  1.  1.  1.  1.]
 [15.  4.  4.  4.  4.]]",0.0,-1.5,-30.0,11.770669496008663,0.0,-51.0
"[[ 3.  3.  3.  3.  3.]
 [ 3.  3.  3.  3.  3.]
 [14.  3.  3.  3. 13.]
 [ 6.  1.  1.  1.  1.]
 [ 4.  4.  4.  4.  4.]]",0.0,0.0,0.0,0.0,-51.0372114,0.0
"[[ 3.  3.  3.  3. 13.]
 [ 3.  3.  3.  3.  3.]
 [ 6.  1.  1.  1.  1.]
 [ 4.  4.  4.  4.  4.]
 [15.  4.  4.  4.  4.]]",9.088604566467684,0.8867337274141074,-0.69,0.0,0.0,-26.237336574441887
"[[ 3.  3.  3.  3. 13.]
 [ 3.  3.  3.  3.  3.]
 [ 3.  3.  3.  3.  3.]
 [ 1.  1.  1.  1.  1.]
 [15.  4.  4.  4.  4.]]",-22.41465182272265,63.60383612985373,-27.18835542514986,7.398131815730852,191.2745705356902,-63.50336484715531
"[[ 3.  3.  3.  3.  3.]
 [ 3.  3.  3.  3.  3.]
 [14.  3.  3.  3. 13.]
 [ 1.  1.  1.  1.  1.]
 [ 4.  4.  4.  4.  4.]]",0.0,0.0,-11.52654267506658,0.0,0.0,0.0
"[[11.  0.  3.  3.  3.]
 [ 0.  0.  3.  3.  3.]
 [ 0.  0.  3.  1.  3.]
 [ 0.  0.  1.  4.  6.]
 [ 0.  0.  4.  4. 14.]]",-30.0,-84.08999999999999,-51.0,-30.0,-57.042296751247285,-85.87941
"[[ 3.  3.  3.  3. 13.]
 [ 3.  3.  3.  3.  3.]
 [ 3.  3.  3.  3.  3.]
 [ 3.  1.  3.  3.  3.]
 [12.  4.  6.  1.  1.]]",-3.502247181665375,159.76641706147348,-29.9433,17.86235881512787,0.0,-30.0
"[[ 3.  3.  3.  3. 13.]
 [ 3.  1.  3.  3.  3.]
 [ 1.  4.  1.  6.  1.]
 [ 4.  4.  4.  4.  4.]
 [15.  4.  4.  4.  4.]]",20.85699537345454,329.1957795512458,0.0,0.0,164.07630054278678,-65.69999999999999
"[[ 3.  3. 13.  3.  3.]
 [ 3.  1.  3.  3.  3.]
 [ 1.  4.  1.  6.  1.]
 [ 4.  4.  4.  4.  4.]
 [ 4.  4. 15.  4.  4.]]",18.76882802307044,337.45365218556674,-4.15965,69.59811081208932,160.16709202502108,168.06030130761633
"[[ 0.  3. 13.  3.  3.]
 [ 0.  3.  1.  3.  3.]
 [ 0.  1.  4.  1.  6.]
 [ 0.  4.  4.  4.  4.]
 [ 0.  4. 15.  4.  4.]]",36.748741696450736,0.0,0.0,-46.58046027238751,0.0,-23.92771695108955
"[[ 0.  3. 11.  3.  3.]
 [ 0.  1.  4.  1.  6.]
 [ 0.  4.  4.  4.  4.]
 [ 0.  4.  4.  4.  4.]
 [ 0.  4. 15.  4.  4.]]",0.0,0.0,3.0,0.0,16.368665657824007,0.0
"[[13.  3.  3.  3.  3.]
 [ 3.  1.  3.  3.  3.]
 [ 1.  4.  1.  6.  1.]
 [ 4.  4.  4.  4.  4.]
 [ 4.  4.  4.  4. 15.]]",-30.0,290.3961739265528,0.0,-2.55,-30.0,171.30016060266877
